,sim1Sub001,sim1Sub002,sim1Sub003,sim1Sub004,sim1Sub005,sim1Sub006,sim1Sub007,sim1Sub008,sim1Sub009,sim1Sub010,sim1Sub011,sim1Sub012,sim1Sub013,sim1Sub014,sim1Sub015,sim1Sub016,sim1Sub017,sim1Sub018,sim1Sub019,sim1Sub020,sim1Sub021,sim1Sub022,sim1Sub023,sim1Sub024,sim1Sub025,sim1Sub026,sim1Sub027,sim1Sub028,sim1Sub029,sim1Sub030,sim1Sub031,sim1Sub032,sim1Sub033,sim1Sub034,sim1Sub035,sim1Sub036,sim1Sub037,sim1Sub038,sim1Sub039,sim1Sub040,sim1Sub041,sim1Sub042,sim1Sub043,sim1Sub044,sim1Sub045,sim1Sub046,sim1Sub047,sim1Sub048,sim1Sub049,sim1Sub050
14,0.816,0.844,0.752,0.924,0.84,0.816,0.772,0.64,0.904,0.828,0.856,0.852,0.844,0.768,0.756,0.744,0.844,0.84,1,0.856,0.86,0.76,0.684,0.672,0.904,0.64,0.86,0.864,0.84,0.832,0.832,0.856,0.78,1,0.84,0.92,0.76,0.844,0.784,0.932,0.912,0.92,0.848,0.776,0.76,0.86,0.62,0.908,0.84,0.864
15,0.644,0.848,0.76,0.776,0.776,0.816,0.752,0.66,0.828,0.748,0.744,0.76,0.7,0.676,0.764,0.688,0.788,0.74,0.928,0.76,0.924,0.744,0.684,0.772,0.828,0.556,0.74,0.852,0.808,0.752,0.68,0.752,0.76,0.856,0.92,0.772,0.736,0.904,0.684,0.82,0.748,0.816,0.668,0.824,0.84,0.832,0.56,0.832,0.84,0.768
16,0.755,0.755,0.7295,0.779,0.6965,0.7385,0.776,0.731,0.798,0.7235,0.7535,0.737,0.7235,0.7745,0.737,0.786,0.7505,0.764,0.7655,0.731,0.756,0.8025,0.7745,0.788,0.737,0.6845,0.7235,0.764,0.737,0.7985,0.819,0.734,0.749,0.8605,0.758,0.74,0.7565,0.731,0.7685,0.726,0.698,0.847,0.767,0.767,0.755,0.7845,0.725,0.7055,0.795,0.731
17,0.7355,0.8385,0.783,0.8055,0.7355,0.749,0.776,0.7875,0.905,0.713,0.752,0.7715,0.7895,0.782,0.755,0.753,0.834,0.782,0.764,0.8395,0.761,0.862,0.7595,0.8025,0.746,0.6935,0.81,0.7685,0.7805,0.7965,0.801,0.7685,0.786,0.831,0.779,0.822,0.7835,0.746,0.81,0.7365,0.8425,0.8115,0.7995,0.7565,0.831,0.8265,0.7845,0.7545,0.807,0.783
18,0.7475,0.743,0.7785,0.7775,0.671,0.7355,0.7995,0.7235,0.8945,0.722,0.7475,0.734,0.743,0.71,0.77,0.774,0.761,0.77,0.758,0.7415,0.7295,0.844,0.755,0.776,0.734,0.677,0.7085,0.7685,0.7235,0.807,0.7535,0.7025,0.7635,0.7805,0.7535,0.6995,0.743,0.7145,0.776,0.711,0.701,0.7605,0.77,0.7595,0.844,0.7845,0.743,0.7305,0.783,0.746
19,0.755,0.7415,0.777,0.7835,0.671,0.716,0.807,0.713,0.905,0.7175,0.725,0.731,0.7415,0.7085,0.764,0.743,0.7655,0.7715,0.7415,0.7265,0.7415,0.847,0.752,0.7685,0.746,0.683,0.6995,0.7595,0.7235,0.8055,0.752,0.7085,0.756,0.7745,0.755,0.6905,0.746,0.719,0.7745,0.72,0.7055,0.7575,0.77,0.737,0.816,0.783,0.74,0.732,0.792,0.746
20,0.8445,0.812,0.852,0.809,0.8385,0.806,0.8445,0.84,0.792,0.8445,0.843,0.8075,0.7935,0.8475,0.84,0.8295,0.8355,0.825,0.837,0.84,0.764,0.853,0.8475,0.8475,0.8415,0.7745,0.8325,0.8385,0.803,0.779,0.843,0.791,0.825,0.785,0.9095,0.8505,0.803,0.8445,0.782,0.7895,0.84,0.8535,0.8355,0.809,0.813,0.828,0.8815,0.8145,0.837,0.8785
21,0.767,0.734,0.728,0.776,0.674,0.7175,0.7175,0.7505,0.8235,0.728,0.7025,0.7295,0.764,0.686,0.804,0.7355,0.7875,0.755,0.753,0.713,0.7505,0.7415,0.756,0.782,0.7175,0.6935,0.767,0.765,0.7355,0.7175,0.7265,0.71,0.71,0.728,0.7175,0.692,0.776,0.7025,0.804,0.72,0.704,0.7175,0.767,0.743,0.819,0.725,0.8055,0.704,0.785,0.7535
22,0.761,0.7625,0.7235,0.791,0.7115,0.7475,0.77,0.725,0.7325,0.7085,0.707,0.7565,0.7385,0.7985,0.6605,0.7995,0.7295,0.7755,0.8695,0.801,0.755,0.752,0.7505,0.7805,0.764,0.677,0.8415,0.737,0.743,0.797,0.801,0.767,0.755,0.826,0.8015,0.7355,0.758,0.737,0.795,0.6875,0.7295,0.8175,0.8145,0.8725,0.7115,0.7775,0.659,0.686,0.7685,0.725
23,0.758,0.7385,0.746,0.831,0.677,0.74,0.804,0.719,0.834,0.7145,0.7355,0.731,0.74,0.701,0.758,0.7575,0.801,0.7805,0.704,0.7025,0.749,0.7695,0.783,0.785,0.734,0.6725,0.7295,0.737,0.734,0.761,0.746,0.698,0.7175,0.77,0.764,0.68,0.791,0.7115,0.782,0.708,0.7085,0.7725,0.755,0.7355,0.8235,0.746,0.7815,0.704,0.7935,0.7535
24,0.7235,0.7505,0.77,0.791,0.6755,0.795,0.7775,0.6995,0.7685,0.731,0.762,0.719,0.837,0.698,0.7445,0.6965,0.774,0.7775,0.752,0.749,0.7145,0.8385,0.7295,0.783,0.701,0.71,0.767,0.6875,0.752,0.7595,0.7445,0.728,0.716,0.7505,0.74,0.7415,0.8325,0.7295,0.7655,0.686,0.707,0.7875,0.7445,0.7725,0.8325,0.7385,0.758,0.722,0.7385,0.779
25,0.7505,0.764,0.7665,0.788,0.6995,0.743,0.774,0.7235,0.7845,0.725,0.7145,0.731,0.7845,0.767,0.674,0.823,0.749,0.777,0.819,0.7565,0.734,0.764,0.737,0.788,0.7685,0.6845,0.911,0.7145,0.7085,0.816,0.768,0.7355,0.761,0.767,0.816,0.722,0.7595,0.737,0.813,0.6875,0.7145,0.7965,0.767,0.8695,0.734,0.7745,0.701,0.6755,0.752,0.737
26,0.664,1,0.756,0.756,0.744,0.76,0.756,0.684,0.928,0.752,0.824,0.816,0.772,1,0.752,0.668,0.928,0.752,0.764,0.848,0.764,0.67,0.828,0.752,0.728,0.572,0.764,0.84,0.912,0.756,0.76,0.864,0.824,0.848,0.776,0.768,0.768,0.776,0.764,0.84,0.84,0.844,0.848,0.752,0.776,0.94,0.744,0.668,0.836,0.84
